internal_line_id,continent,country,state,year
Pd_02,N_America,USA,Wisconsin,2016
Pd_03,Europe,Czech Republic,Central Bohemian Region,2010
Pd_04,Europe,Czech Republic,Central Bohemian Region,2010
Pd_05,Europe,Czech Republic,Hradec Kralove,2011
Pd_06,Europe,Czech Republic,Hradec Kralove,2011
Pd_07,N_America,Canada,Ontario,2015
Pd_08,N_America,Canada,Ontario,2015
Pd_09,N_America,Canada,Nova Scotia,2013
Pd_10,N_America,Canada,Nova Scotia,2013
Pd_11,N_America,Canada,Prince Edward Island,2013
Pd_12,N_America,Canada,Ontario,2015
Pd_13,N_America,Canada,New Brunswick,2015
Pd_14,N_America,Canada,New Brunswick,2012
Pd_15,N_America,Canada,New Brunswick,2013
Pd_16,N_America,Canada,New Brunswick,2012
Pd_17,N_America,Canada,New Brunswick,2012
Pd_18,Europe,Germany,Thuringa,2009
Pd_19,N_America,Canada,New Brunswick,2013
Pd_20,N_America,Canada,New Brunswick,2013
Pd_21,N_America,Canada,New Brunswick,2013
Pd_22,N_America,Canada,New Brunswick,2013
Pd_23,N_America,USA,New Brunswick,2008
Pd_24,N_America,Canada,New Brunswick,2012
Pd_26,N_America,Canada,New Brunswick,2012
Pd_27,N_America,Canada,Prince Edward Island,2012
Pd_28,N_America,USA,New York,2008
Pd_36,N_America,USA,New York,2009
Pd_37,N_America,USA,New York,2009
Pd_39,N_America,USA,New York,2009
Pd_45,N_America,USA,New York,2009
Pd_47,Europe,Germany,Thuringa,2009
Pd_48,Europe,Switzerland,Aargau,2009
Pd_49,N_America,USA,Pennsylvania,2009
Pd_50,N_America,USA,New Jersey,2009
Pd_51,N_America,USA,West Virginia,2009
Pd_52,N_America,Canada,Ontario,2010
Pd_53,N_America,USA,Tennessee,2010
Pd_54,N_America,USA,Vermont,2008
Pd_55,N_America,USA,Connecticut,2009
Pd_56,N_America,USA,Virginia,2009
Pd_57,N_America,USA,Massachussetts,2008
Pd_58,N_America,USA,Alabama,2015
Pd_59,N_America,USA,Washington,2016
Pd_60,Europe,Hungary,Kislod,2009
Pd_62,N_America,USA,Connecticut,2008
Pd_63,N_America,USA,Tennessee,2010
Pd_64,N_America,USA,Maryland,2010
Pd_65,N_America,USA,New York,2009
Pd_66,N_America,USA,Vermont,2010
Pd_67,N_America,Canada,Ontario,2010
Pd_68,N_America,USA,Tennessee,2010
Pd_70,Asia,Mongolia,NA,2016
Pd_71,Asia,Mongolia,NA,2016
Pd_72,N_America,Canada,New Brunswick,2012
Pd_73,N_America,USA,Missouri,2012
Pd_74,N_America,USA,Virginia,2011
Pd_75,N_America,USA,Tennessee,2011
Pd_76,N_America,USA,Indiana,2011
Pd_77,N_America,USA,Indiana,2011
Pd_78,N_America,USA,Deleware,2012
Pd_79,N_America,USA,Maine,2011
Pd_80,Europe,Ukraine,NA,2011
Pd_81,Europe,France,Aquitaine,2009
Pd_82,N_America,Canada,Ontario,2014
Pd_83,N_America,Canada,Nova Scotia,2013
Pd_84,N_America,Canada,New Brunswick,2012
Pd_85,N_America,Canada,New Brunswick,2012