individuals,continent,country,state,year,platform,instrument,strat
Pd_02,N_America,USA,Wisconsin,2016,ION_TORRENT,Ion Torrent PGM,SINGLE
Pd_07,N_America,Canada,Ontario,2015,ION_TORRENT,Illumina HiSeq 2500,PAIRED
Pd_08,N_America,Canada,Ontario,2015,ION_TORRENT,Illumina HiSeq 2500,PAIRED
Pd_09,N_America,Canada,Nova Scotia,2013,ILLUMINA,Illumina HiSeq 2500,PAIRED
Pd_10,N_America,Canada,Nova Scotia,2013,ILLUMINA,Illumina HiSeq 2500,PAIRED
Pd_11,N_America,Canada,Prince Edward Island,2013,ILLUMINA,Illumina HiSeq 2500,PAIRED
Pd_12,N_America,Canada,Ontario,2015,ILLUMINA,Illumina HiSeq 2500,PAIRED
Pd_13,N_America,Canada,New Brunswick,2015,ILLUMINA,Illumina HiSeq 2500,PAIRED
Pd_14,N_America,Canada,New Brunswick,2012,ILLUMINA,Illumina HiSeq 2500,PAIRED
Pd_15,N_America,Canada,New Brunswick,2013,ILLUMINA,Illumina HiSeq 2500,PAIRED
Pd_16,N_America,Canada,New Brunswick,2012,ILLUMINA,Illumina HiSeq 2500,PAIRED
Pd_17,N_America,Canada,New Brunswick,2012,ILLUMINA,Illumina HiSeq 2500,PAIRED
Pd_19,N_America,Canada,New Brunswick,2013,ILLUMINA,Illumina HiSeq 2500,PAIRED
Pd_20,N_America,Canada,New Brunswick,2013,ILLUMINA,Illumina HiSeq 2500,PAIRED
Pd_21,N_America,Canada,New Brunswick,2013,ILLUMINA,Illumina HiSeq 2500,PAIRED
Pd_22,N_America,Canada,New Brunswick,2013,ILLUMINA,Illumina HiSeq 2500,PAIRED
Pd_23,N_America,USA,New York,2008,ILLUMINA,Illumina HiSeq 2500,PAIRED
Pd_24,N_America,Canada,New Brunswick,2012,ILLUMINA,Illumina HiSeq 2500,PAIRED
Pd_26,N_America,Canada,New Brunswick,2012,ILLUMINA,Illumina MiSeq,PAIRED
Pd_27,N_America,Canada,Prince Edward Island,2012,ILLUMINA,Illumina MiSeq,PAIRED
Pd_28,N_America,USA,New York,2008,ILLUMINA,Illumina MiSeq,PAIRED
Pd_49,N_America,USA,Pennsylvania,2009,ILLUMINA,Illumina Genome Analyzer IIx,PAIRED
Pd_50,N_America,USA,New Jersey,2009,ILLUMINA,Illumina Genome Analyzer IIx,PAIRED
Pd_51,N_America,USA,West Virginia,2009,ILLUMINA,Illumina Genome Analyzer IIx,PAIRED
Pd_52,N_America,Canada,Ontario,2010,ILLUMINA,Illumina Genome Analyzer IIx,PAIRED
Pd_53,N_America,USA,Tennessee,2010,ILLUMINA,Illumina Genome Analyzer IIx,PAIRED
Pd_54,N_America,USA,Vermont,2008,ILLUMINA,Illumina HiSeq 2000,PAIRED
Pd_55,N_America,USA,Connecticut,2009,ILLUMINA,Illumina Genome Analyzer IIx,PAIRED
Pd_56,N_America,USA,Virginia,2009,ILLUMINA,Illumina Genome Analyzer IIx,PAIRED
Pd_57,N_America,USA,Massachussetts,2008,ILLUMINA,Illumina Genome Analyzer IIx,PAIRED
Pd_58,N_America,USA,Alabama,2015,ILLUMINA,Ion Torrent PGM,SINGLE
Pd_62,N_America,USA,Connecticut,2008,ILLUMINA,Illumina Genome Analyzer IIx,PAIRED
Pd_63,N_America,USA,Tennessee,2010,ILLUMINA,Illumina Genome Analyzer IIx,PAIRED
Pd_64,N_America,USA,Maryland,2010,ILLUMINA,Illumina Genome Analyzer IIx,PAIRED
Pd_65,N_America,USA,New York,2009,ILLUMINA,Illumina HiSeq 2000,PAIRED
Pd_66,N_America,USA,Vermont,2010,ILLUMINA,Illumina Genome Analyzer IIx,PAIRED
Pd_67,N_America,Canada,Ontario,2010,ILLUMINA,Illumina Genome Analyzer IIx,PAIRED
Pd_68,N_America,USA,Tennessee,2010,LS454,Illumina Genome Analyzer IIx,PAIRED
Pd_72,N_America,Canada,New Brunswick,2012,LS454,Illumina Genome Analyzer IIx,PAIRED
Pd_73,N_America,USA,Missouri,2012,LS454,Illumina MiSeq,PAIRED
Pd_74,N_America,USA,Virginia,2011,LS454,Illumina Genome Analyzer IIx,PAIRED
Pd_75,N_America,USA,Tennessee,2011,LS454,Illumina Genome Analyzer IIx,PAIRED
Pd_76,N_America,USA,Indiana,2011,LS454,Illumina Genome Analyzer IIx,PAIRED
Pd_77,N_America,USA,Indiana,2011,LS454,Illumina HiSeq 2000,PAIRED
Pd_78,N_America,USA,Deleware,2012,LS454,Illumina MiSeq,PAIRED
Pd_79,N_America,USA,Maine,2011,ILLUMINA,Illumina MiSeq,PAIRED
Pd_82,N_America,Canada,Ontario,2014,ILLUMINA,Illumina MiSeq,PAIRED
Pd_83,N_America,Canada,Nova Scotia,2013,ILLUMINA,Illumina MiSeq,PAIRED
Pd_84,N_America,Canada,New Brunswick,2012,ION_TORRENT,Illumina MiSeq,PAIRED
Pd_85,N_America,Canada,New Brunswick,2012,ILLUMINA,Illumina MiSeq,PAIRED