ind,year,Pop,admix
Pd_02,2016,pop01,0.000100299
Pd_02,2016,pop02,0.000100299
Pd_02,2016,pop03,0.000100299
Pd_02,2016,pop04,0.999398172
Pd_02,2016,pop05,0.000100299
Pd_02,2016,pop06,0.000100299
Pd_02,2016,pop07,0.000100299
Pd_07,2015,pop01,9.99957774183713e-05
Pd_07,2015,pop02,0.006963132
Pd_07,2015,pop03,9.99957774183713e-05
Pd_07,2015,pop04,0.000112759
Pd_07,2015,pop05,0.002303449
Pd_07,2015,pop06,0.990320742
Pd_07,2015,pop07,9.99957774183713e-05
Pd_08,2015,pop01,9.86158920568414e-05
Pd_08,2015,pop02,9.86158920568414e-05
Pd_08,2015,pop03,0.054313678
Pd_08,2015,pop04,0.012730452
Pd_08,2015,pop05,0.02385401
Pd_08,2015,pop06,0.908806026
Pd_08,2015,pop07,9.86158920568414e-05
Pd_09,2013,pop01,0.000550672
Pd_09,2013,pop02,9.99007097561844e-05
Pd_09,2013,pop03,0.028521867
Pd_09,2013,pop04,0.001141462
Pd_09,2013,pop05,0.000100655
Pd_09,2013,pop06,0.969485521
Pd_09,2013,pop07,9.99007097561844e-05
Pd_10,2013,pop01,0.000343191
Pd_10,2013,pop02,0.000500463
Pd_10,2013,pop03,0.000911905
Pd_10,2013,pop04,0.002955949
Pd_10,2013,pop05,0.008705742
Pd_10,2013,pop06,0.946730971
Pd_10,2013,pop07,0.039851796
Pd_11,2013,pop01,0.000100351
Pd_11,2013,pop02,0.002948572
Pd_11,2013,pop03,9.99433250399306e-05
Pd_11,2013,pop04,0.000610864
Pd_11,2013,pop05,0.008849474
Pd_11,2013,pop06,0.114032656
Pd_11,2013,pop07,0.87335813
Pd_12,2015,pop01,0.00010057
Pd_12,2015,pop02,0.000213053
Pd_12,2015,pop03,0.000100094
Pd_12,2015,pop04,0.000100094
Pd_12,2015,pop05,0.000100094
Pd_12,2015,pop06,0.999243379
Pd_12,2015,pop07,0.000142682
Pd_13,2015,pop01,0.003059933
Pd_13,2015,pop02,0.002251229
Pd_13,2015,pop03,0.000100101
Pd_13,2015,pop04,0.000100101
Pd_13,2015,pop05,0.000100101
Pd_13,2015,pop06,0.791775227
Pd_13,2015,pop07,0.202613294
Pd_14,2012,pop01,0.000103526
Pd_14,2012,pop02,0.000100835
Pd_14,2012,pop03,0.000101454
Pd_14,2012,pop04,0.003087374
Pd_14,2012,pop05,9.99152398435399e-05
Pd_14,2012,pop06,9.99152398435399e-05
Pd_14,2012,pop07,0.996407032
Pd_15,2013,pop01,9.92167260847054e-05
Pd_15,2013,pop02,9.92167260847054e-05
Pd_15,2013,pop03,0.155750751
Pd_15,2013,pop04,0.01247029
Pd_15,2013,pop05,0.008916967
Pd_15,2013,pop06,0.050643217
Pd_15,2013,pop07,0.77202034
Pd_16,2012,pop01,9.97485985863023e-05
Pd_16,2012,pop02,0.000103508
Pd_16,2012,pop03,0.127400637
Pd_16,2012,pop04,0.008281826
Pd_16,2012,pop05,0.000101341
Pd_16,2012,pop06,0.049805406
Pd_16,2012,pop07,0.814207554
Pd_17,2012,pop01,0.000100896
Pd_17,2012,pop02,0.00101556
Pd_17,2012,pop03,0.000100042
Pd_17,2012,pop04,0.000100042
Pd_17,2012,pop05,0.000100042
Pd_17,2012,pop06,0.000100042
Pd_17,2012,pop07,0.99848336
Pd_19,2013,pop01,9.94883157545701e-05
Pd_19,2013,pop02,0.020598294
Pd_19,2013,pop03,0.009663986
Pd_19,2013,pop04,0.016933009
Pd_19,2013,pop05,0.030730467
Pd_19,2013,pop06,0.156276852
Pd_19,2013,pop07,0.765697956
Pd_20,2013,pop01,0.011848611
Pd_20,2013,pop02,9.99486583168618e-05
Pd_20,2013,pop03,9.99486583168618e-05
Pd_20,2013,pop04,9.99486583168618e-05
Pd_20,2013,pop05,0.00656397
Pd_20,2013,pop06,0.136339962
Pd_20,2013,pop07,0.844947577
Pd_21,2013,pop01,0.007856502
Pd_21,2013,pop02,9.99207622953691e-05
Pd_21,2013,pop03,9.99207622953691e-05
Pd_21,2013,pop04,9.99207622953691e-05
Pd_21,2013,pop05,0.019941084
Pd_21,2013,pop06,0.971802652
Pd_21,2013,pop07,9.99207622953691e-05
Pd_22,2013,pop01,9.8915166745428e-05
Pd_22,2013,pop02,0.000151193
Pd_22,2013,pop03,0.000100729
Pd_22,2013,pop04,0.011759433
Pd_22,2013,pop05,0.018632051
Pd_22,2013,pop06,0.162523359
Pd_22,2013,pop07,0.806734264
Pd_23,2008,pop01,9.90186308627017e-05
Pd_23,2008,pop02,9.90186308627017e-05
Pd_23,2008,pop03,0.078723416
Pd_23,2008,pop04,0.009999685
Pd_23,2008,pop05,0.005681391
Pd_23,2008,pop06,0.150522128
Pd_23,2008,pop07,0.754875362
Pd_24,2012,pop01,0.003881474
Pd_24,2012,pop02,9.95853843051009e-05
Pd_24,2012,pop03,0.001889472
Pd_24,2012,pop04,0.005403424
Pd_24,2012,pop05,9.95853843051009e-05
Pd_24,2012,pop06,0.10708981
Pd_24,2012,pop07,0.881536722
Pd_26,2012,pop01,0.000100014
Pd_26,2012,pop02,0.000100014
Pd_26,2012,pop03,0.000100014
Pd_26,2012,pop04,0.004442105
Pd_26,2012,pop05,0.995057821
Pd_26,2012,pop06,0.000100014
Pd_26,2012,pop07,0.000100014
Pd_27,2012,pop01,9.98662944766693e-05
Pd_27,2012,pop02,9.98662944766693e-05
Pd_27,2012,pop03,9.98662944766693e-05
Pd_27,2012,pop04,0.000103197
Pd_27,2012,pop05,0.942944169
Pd_27,2012,pop06,0.045478474
Pd_27,2012,pop07,0.01117454
Pd_28,2008,pop01,9.72779089352116e-05
Pd_28,2008,pop02,9.72779089352116e-05
Pd_28,2008,pop03,0.12036366
Pd_28,2008,pop04,0.024338692
Pd_28,2008,pop05,0.54553628
Pd_28,2008,pop06,0.082045503
Pd_28,2008,pop07,0.22752136
Pd_49,2009,pop01,0.031934734
Pd_49,2009,pop02,0.298791021
Pd_49,2009,pop03,0.653413594
Pd_49,2009,pop04,0.015560318
Pd_49,2009,pop05,0.000103636
Pd_49,2009,pop06,9.82852652668953e-05
Pd_49,2009,pop07,9.82852652668953e-05
Pd_50,2009,pop01,0.132425383
Pd_50,2009,pop02,0.232140884
Pd_50,2009,pop03,0.618851781
Pd_50,2009,pop04,0.016287347
Pd_50,2009,pop05,9.82086494332179e-05
Pd_50,2009,pop06,9.82086494332179e-05
Pd_50,2009,pop07,9.82086494332179e-05
Pd_51,2009,pop01,0.033051472
Pd_51,2009,pop02,0.148384869
Pd_51,2009,pop03,0.735782206
Pd_51,2009,pop04,0.01843961
Pd_51,2009,pop05,0.031752881
Pd_51,2009,pop06,0.032341037
Pd_51,2009,pop07,0.000247975
Pd_52,2010,pop01,0.487379223
Pd_52,2010,pop02,0.061625533
Pd_52,2010,pop03,0.440033972
Pd_52,2010,pop04,0.010647956
Pd_52,2010,pop05,0.000116124
Pd_52,2010,pop06,9.86451559583656e-05
Pd_52,2010,pop07,9.86451559583656e-05
Pd_53,2010,pop01,0.3447299
Pd_53,2010,pop02,0.300797045
Pd_53,2010,pop03,0.33977735
Pd_53,2010,pop04,0.014401625
Pd_53,2010,pop05,9.80090990196913e-05
Pd_53,2010,pop06,9.80090990196913e-05
Pd_53,2010,pop07,9.80090990196913e-05
Pd_54,2008,pop01,0.396153331
Pd_54,2008,pop02,0.603335023
Pd_54,2008,pop03,0.000100454
Pd_54,2008,pop04,0.000100454
Pd_54,2008,pop05,0.000100454
Pd_54,2008,pop06,0.000103914
Pd_54,2008,pop07,0.000106256
Pd_55,2009,pop01,0.585720956
Pd_55,2009,pop02,0.204340041
Pd_55,2009,pop03,0.199195936
Pd_55,2009,pop04,0.01044785
Pd_55,2009,pop05,9.84198413789272e-05
Pd_55,2009,pop06,9.84198413789272e-05
Pd_55,2009,pop07,9.84198413789272e-05
Pd_56,2009,pop01,0.584625244
Pd_56,2009,pop02,0.414868951
Pd_56,2009,pop03,0.000101145
Pd_56,2009,pop04,0.000101145
Pd_56,2009,pop05,0.000101145
Pd_56,2009,pop06,0.000101145
Pd_56,2009,pop07,0.000101145
Pd_57,2008,pop01,0.000100155
Pd_57,2008,pop02,0.727524459
Pd_57,2008,pop03,0.257074296
Pd_57,2008,pop04,0.003998487
Pd_57,2008,pop05,0.011102251
Pd_57,2008,pop06,0.000100155
Pd_57,2008,pop07,0.000100155
Pd_58,2015,pop01,0.000101292
Pd_58,2015,pop02,0.000101292
Pd_58,2015,pop03,0.000101292
Pd_58,2015,pop04,0.999392211
Pd_58,2015,pop05,0.000101292
Pd_58,2015,pop06,0.000101292
Pd_58,2015,pop07,0.000101292
Pd_62,2008,pop01,9.97886309050955e-05
Pd_62,2008,pop02,0.843092859
Pd_62,2008,pop03,0.13996321
Pd_62,2008,pop04,0.016544661
Pd_62,2008,pop05,9.97886309050955e-05
Pd_62,2008,pop06,9.97886309050955e-05
Pd_62,2008,pop07,9.97886309050955e-05
Pd_63,2010,pop01,0.966300845
Pd_63,2010,pop02,0.032852869
Pd_63,2010,pop03,0.000175614
Pd_63,2010,pop04,0.000355558
Pd_63,2010,pop05,0.000104024
Pd_63,2010,pop06,0.00010736
Pd_63,2010,pop07,0.000103718
Pd_64,2010,pop01,9.83249847195111e-05
Pd_64,2010,pop02,0.75482142
Pd_64,2010,pop03,0.230787814
Pd_64,2010,pop04,0.013997421
Pd_64,2010,pop05,9.83249847195111e-05
Pd_64,2010,pop06,9.83249847195111e-05
Pd_64,2010,pop07,9.83249847195111e-05
Pd_65,2009,pop01,0.551457405
Pd_65,2009,pop02,0.448038727
Pd_65,2009,pop03,0.000100756
Pd_65,2009,pop04,0.000100756
Pd_65,2009,pop05,0.000100756
Pd_65,2009,pop06,0.000100756
Pd_65,2009,pop07,0.000100756
Pd_66,2010,pop01,0.747775257
Pd_66,2010,pop02,9.28610243136063e-05
Pd_66,2010,pop03,0.15378347
Pd_66,2010,pop04,0.098069787
Pd_66,2010,pop05,9.28610243136063e-05
Pd_66,2010,pop06,9.28610243136063e-05
Pd_66,2010,pop07,9.28610243136063e-05
Pd_67,2010,pop01,0.000101469
Pd_67,2010,pop02,0.904921412
Pd_67,2010,pop03,0.086904816
Pd_67,2010,pop04,0.007771611
Pd_67,2010,pop05,0.000100225
Pd_67,2010,pop06,0.000100225
Pd_67,2010,pop07,0.000100225
Pd_68,2010,pop01,9.84790895017795e-05
Pd_68,2010,pop02,9.84787620836869e-05
Pd_68,2010,pop03,0.540554225
Pd_68,2010,pop04,0.023415405
Pd_68,2010,pop05,0.014473357
Pd_68,2010,pop06,0.421261549
Pd_68,2010,pop07,9.84787620836869e-05
Pd_72,2012,pop01,9.70867913565598e-05
Pd_72,2012,pop02,9.70867913565598e-05
Pd_72,2012,pop03,0.114365399
Pd_72,2012,pop04,0.0246653
Pd_72,2012,pop05,0.552767813
Pd_72,2012,pop06,0.118727334
Pd_72,2012,pop07,0.189279914
Pd_73,2012,pop01,9.94276415440254e-05
Pd_73,2012,pop02,9.94276415440254e-05
Pd_73,2012,pop03,9.94276415440254e-05
Pd_73,2012,pop04,9.94276415440254e-05
Pd_73,2012,pop05,0.3189345
Pd_73,2012,pop06,0.287199587
Pd_73,2012,pop07,0.393468231
Pd_74,2011,pop01,0.060094927
Pd_74,2011,pop02,0.712113261
Pd_74,2011,pop03,0.225322813
Pd_74,2011,pop04,0.002170407
Pd_74,2011,pop05,9.94797810562886e-05
Pd_74,2011,pop06,9.94797810562886e-05
Pd_74,2011,pop07,9.94797810562886e-05
Pd_75,2011,pop01,0.100106247
Pd_75,2011,pop02,0.899385154
Pd_75,2011,pop03,0.000100073
Pd_75,2011,pop04,0.000100073
Pd_75,2011,pop05,0.000100073
Pd_75,2011,pop06,0.000108203
Pd_75,2011,pop07,0.000100073
Pd_76,2011,pop01,9.85343285719864e-05
Pd_76,2011,pop02,9.85343285719864e-05
Pd_76,2011,pop03,0.733065248
Pd_76,2011,pop04,0.020362377
Pd_76,2011,pop05,0.021551384
Pd_76,2011,pop06,0.210585698
Pd_76,2011,pop07,0.014238298
Pd_77,2011,pop01,0.000100351
Pd_77,2011,pop02,0.968530059
Pd_77,2011,pop03,0.007738515
Pd_77,2011,pop04,0.002818815
Pd_77,2011,pop05,0.000100351
Pd_77,2011,pop06,0.000100351
Pd_77,2011,pop07,0.020611517
Pd_78,2012,pop01,9.94116635411046e-05
Pd_78,2012,pop02,9.94116635411046e-05
Pd_78,2012,pop03,0.339176834
Pd_78,2012,pop04,0.014028193
Pd_78,2012,pop05,9.94116635411046e-05
Pd_78,2012,pop06,0.581766486
Pd_78,2012,pop07,0.064730175
Pd_79,2011,pop01,9.91590859484859e-05
Pd_79,2011,pop02,9.91590859484859e-05
Pd_79,2011,pop03,0.565722704
Pd_79,2011,pop04,0.012314027
Pd_79,2011,pop05,0.000107856
Pd_79,2011,pop06,0.407553285
Pd_79,2011,pop07,0.014103903
Pd_82,2014,pop01,0.062969461
Pd_82,2014,pop02,0.000100156
Pd_82,2014,pop03,0.000100156
Pd_82,2014,pop04,0.000100156
Pd_82,2014,pop05,0.936529756
Pd_82,2014,pop06,0.000100156
Pd_82,2014,pop07,0.000100156
Pd_83,2013,pop01,0.000100402
Pd_83,2013,pop02,0.017937323
Pd_83,2013,pop03,0.000100402
Pd_83,2013,pop04,0.000100402
Pd_83,2013,pop05,0.975788713
Pd_83,2013,pop06,0.000103111
Pd_83,2013,pop07,0.00586964
Pd_84,2012,pop01,0.001096843
Pd_84,2012,pop02,0.016203271
Pd_84,2012,pop03,0.018928891
Pd_84,2012,pop04,0.009431281
Pd_84,2012,pop05,0.954140425
Pd_84,2012,pop06,9.96272792690434e-05
Pd_84,2012,pop07,9.96272792690434e-05
Pd_85,2012,pop01,9.85147635219619e-05
Pd_85,2012,pop02,0.006618481
Pd_85,2012,pop03,0.008981659
Pd_85,2012,pop04,0.014970065
Pd_85,2012,pop05,0.949781001
Pd_85,2012,pop06,0.01945179
Pd_85,2012,pop07,9.85147635219619e-05