ind,year,pop_num,admix
Pd_02,2016,4,0.999398172
Pd_07,2015,6,0.990320742
Pd_08,2015,6,0.908806026
Pd_09,2013,6,0.969485521
Pd_10,2013,6,0.946730971
Pd_11,2013,7,0.87335813
Pd_12,2015,6,0.999243379
Pd_13,2015,6,0.791775227
Pd_14,2012,7,0.996407032
Pd_15,2013,7,0.77202034
Pd_16,2012,7,0.814207554
Pd_17,2012,7,0.99848336
Pd_19,2013,7,0.765697956
Pd_20,2013,7,0.844947577
Pd_21,2013,6,0.971802652
Pd_22,2013,7,0.806734264
Pd_23,2008,7,0.754875362
Pd_24,2012,7,0.881536722
Pd_26,2012,5,0.995057821
Pd_27,2012,5,0.942944169
Pd_28,2008,5,0.54553628
Pd_49,2009,3,0.653413594
Pd_50,2009,3,0.618851781
Pd_51,2009,3,0.735782206
Pd_52,2010,1,0.487379223
Pd_53,2010,1,0.3447299
Pd_54,2008,2,0.603335023
Pd_55,2009,1,0.585720956
Pd_56,2009,1,0.584625244
Pd_57,2008,2,0.727524459
Pd_58,2015,4,0.999392211
Pd_62,2008,2,0.843092859
Pd_63,2010,1,0.966300845
Pd_64,2010,2,0.75482142
Pd_65,2009,1,0.551457405
Pd_66,2010,1,0.747775257
Pd_67,2010,2,0.904921412
Pd_68,2010,3,0.540554225
Pd_72,2012,5,0.552767813
Pd_73,2012,7,0.393468231
Pd_74,2011,2,0.712113261
Pd_75,2011,2,0.899385154
Pd_76,2011,3,0.733065248
Pd_77,2011,2,0.968530059
Pd_78,2012,6,0.581766486
Pd_79,2011,3,0.565722704
Pd_82,2014,5,0.936529756
Pd_83,2013,5,0.975788713
Pd_84,2012,5,0.954140425
Pd_85,2012,5,0.949781001